#RPLIDAR SCAN DATA
#COUNT=806
#Angule	Distance	Quality
216.9360 1654.0 188
217.2656 1668.0 188
218.6060 1548.0 188
219.2651 1548.0 188
221.2646 620.0 188
221.5778 618.0 188
222.6050 612.0 188
223.5938 608.0 188
223.7915 632.0 188
224.1870 624.0 188
224.5111 626.0 188
224.8242 630.0 188
225.4175 638.0 188
230.0153 214.0 188
230.3394 215.0 188
230.6689 214.0 188
230.9985 214.0 188
231.3721 213.0 188
231.7017 213.0 188
232.0313 212.0 188
232.4048 211.0 188
232.7344 211.0 188
233.1079 210.0 188
233.4375 210.0 188
233.7616 209.0 188
234.1406 208.0 188
234.5306 206.0 188
234.9042 204.0 188
235.1678 206.0 188
235.7611 207.0 188
237.6068 211.0 188
237.8705 213.0 188
238.2001 212.0 188
238.6395 210.0 188
239.0735 206.0 188
239.5734 200.0 188
239.9524 199.0 188
240.2161 201.0 188
240.8093 203.0 188
241.4026 204.0 188
241.6718 205.0 188
241.9958 205.0 188
242.3254 205.0 188
242.6550 205.0 188
243.0286 204.0 188
243.4186 202.0 188
243.7921 201.0 188
244.1711 199.0 188
244.5612 197.0 188
244.8853 197.0 188
245.1984 197.0 188
245.5884 196.0 188
245.9180 196.0 188
246.2311 196.0 188
246.6211 195.0 188
246.9507 195.0 188
247.2638 195.0 188
247.5934 195.0 188
247.9175 194.0 188
248.2471 194.0 188
248.5767 194.0 188
248.8898 194.0 188
249.2139 194.0 188
249.5435 194.0 188
249.9170 193.0 188
250.2466 193.0 188
250.5762 193.0 188
250.9058 193.0 188
251.2299 193.0 188
251.5430 193.0 188
251.8726 193.0 188
252.2021 193.0 188
252.5757 192.0 188
252.8558 193.0 188
253.1689 193.0 188
253.5590 192.0 188
253.8885 192.0 188
254.2017 192.0 188
254.5313 192.0 188
254.8553 192.0 188
255.1849 192.0 188
255.4980 192.0 188
255.8276 192.0 188
256.1517 192.0 188
